source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1013 RJ Amsterdam (Spaarndammerbuurt/Zeeheldenbuurt),Appartement Nova Zemblastraat 15 A,€ 450.000 k.k.,80 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b5ad1d5b/nova-zemblastraat,2024-12-07,1013 RJ
Pararius,Buy,amsterdam,1054 DR Amsterdam (Helmersbuurt),Appartement Eerste Helmersstraat 143 2,€ 725.000 k.k.,60 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/3c3f6acc/eerste-helmersstraat,2024-12-07,1054 DR
Pararius,Buy,amsterdam,1056 XB Amsterdam (Landlust),Appartement Bloys van Treslongstraat 32 1,€ 485.000 k.k.,56 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/58ae88ab/bloys-van-treslongstraat,2024-12-07,1056 XB
Pararius,Buy,amsterdam,1025 HB Amsterdam (Buikslotermeer),Appartement Het Hoogt 52,€ 450.000 k.k.,93 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a986e78c/het-hoogt,2024-12-07,1025 HB
Pararius,Buy,amsterdam,1108 DD Amsterdam (Nellestein),Appartement Leusdenhof 158,€ 325.000 k.k.,76 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d875b88e/leusdenhof,2024-12-07,1108 DD
Pararius,Buy,amsterdam,1011 PG Amsterdam (Nieuwmarkt/Lastage),Appartement Waterlooplein 387,€ 325.000 k.k.,40 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/7b2a64ff/waterlooplein,2024-12-07,1011 PG
Pararius,Buy,amsterdam,1094 HV Amsterdam (Indische Buurt-West),Appartement Langkatstraat 20,€ 350.000 k.k.,39 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/8332e6dd/langkatstraat,2024-12-07,1094 HV
Pararius,Buy,amsterdam,1055 PE Amsterdam (Landlust),Appartement Van Gentstraat 16 H,€ 650.000 k.k.,83 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/2bdeb815/van-gentstraat,2024-12-07,1055 PE
Pararius,Buy,amsterdam,1074 VM Amsterdam (Zuid Pijp),Appartement Tolstraat 146 H,€ 540.000 k.k.,60 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/23b5dee5/tolstraat,2024-12-07,1074 VM
Pararius,Buy,amsterdam,1034 BM Amsterdam (Banne Buiksloot),Appartement IJdoornlaan 1449 C,€ 300.000 k.k.,37 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/a4e2e270/ijdoornlaan,2024-12-07,1034 BM
Pararius,Buy,amsterdam,1054 MV Amsterdam (Helmersbuurt),Appartement Brederodestraat 42 3,€ 500.000 k.k.,53 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/50de95cb/brederodestraat,2024-12-07,1054 MV
Pararius,Buy,amsterdam,1025 HB Amsterdam (Buikslotermeer),Appartement Het Hoogt 52,€ 450.000 k.k.,93 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/107319d1/het-hoogt,2024-12-07,1025 HB
Pararius,Buy,amsterdam,1076 AR Amsterdam (Stadionbuurt),Appartement Parnassusweg 24 1,€ 900.000 k.k.,103 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/44d6a033/parnassusweg,2024-12-07,1076 AR
Pararius,Buy,amsterdam,1017 CX Amsterdam (Grachtengordel-Zuid),Appartement Paardenstraat 7 4,€ 735.000 k.k.,102 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/7b87d0d3/paardenstraat,2024-12-07,1017 CX
Pararius,Buy,amsterdam,1014 BL Amsterdam (Sloterdijk-West),Appartement Haarlemmerweg 396,€ 800.000 k.k.,90 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/dd268f34/haarlemmerweg,2024-12-07,1014 BL
Pararius,Buy,amsterdam,1068 SR Amsterdam (Osdorp-Oost),Appartement Osdorpplein 145,€ 485.000 k.k.,98 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a5d93060/osdorpplein,2024-12-07,1068 SR
Pararius,Buy,amsterdam,1072 JW Amsterdam (Nieuwe Pijp),Appartement Van Hilligaertstraat 11 C,€ 550.000 k.k.,52 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/07c6d577/van-hilligaertstraat,2024-12-07,1072 JW
Pararius,Buy,amsterdam,1051 CD Amsterdam (Staatsliedenbuurt),Appartement Van Hogendorpstraat 865,€ 695.000 k.k.,78 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d7395fa9/van-hogendorpstraat,2024-12-07,1051 CD
